S01	S02	S03	S04	S06	S07
ASV_334	43	0	0	0	0	0
ASV_335	0	0	43	0	0	0
ASV_336	0	0	0	35	0	8
ASV_337	0	0	0	43	0	0
ASV_338	0	0	0	0	0	43
ASV_339	0	29	10	3	0	0
ASV_340	0	0	42	0	0	0
ASV_341	0	0	0	11	17	14
ASV_342	0	0	0	0	42	0
ASV_343	0	0	0	0	42	0
ASV_344	9	0	0	0	22	10
ASV_345	0	0	41	0	0	0
ASV_346	40	0	0	0	0	0
ASV_347	26	0	0	0	14	0
ASV_348	0	0	15	16	9	0
ASV_349	17	0	0	22	0	0
ASV_350	0	0	0	3	23	13
ASV_351	0	0	0	0	0	39
ASV_352	15	0	0	0	0	23
ASV_353	3	9	26	0	0	0
ASV_354	38	0	0	0	0	0
ASV_355	0	0	38	0	0	0
ASV_356	0	0	0	0	0	37
ASV_357	0	0	36	0	0	0
ASV_358	0	0	14	0	8	14
ASV_359	0	0	0	0	36	0
ASV_360	0	0	0	0	36	0
ASV_361	35	0	0	0	0	0
ASV_362	0	0	35	0	0	0
ASV_363	0	0	0	0	35	0
ASV_364	0	0	0	0	35	0
ASV_365	9	0	0	0	0	25
ASV_366	0	34	0	0	0	0
ASV_367	0	34	0	0	0	0
ASV_368	0	0	34	0	0	0
ASV_369	0	0	0	6	16	12
ASV_370	0	0	0	0	34	0
ASV_371	0	0	0	0	0	34
ASV_372	3	13	0	0	0	17
ASV_373	0	33	0	0	0	0
ASV_374	0	0	0	15	18	0
ASV_375	0	0	0	0	24	9
ASV_376	0	0	0	0	33	0
ASV_377	7	7	0	0	18	0
ASV_378	3	0	0	0	0	29
ASV_379	0	23	0	0	9	0
ASV_380	0	0	32	0	0	0
ASV_381	0	0	0	0	32	0
ASV_382	0	0	0	0	0	32
ASV_383	0	0	17	14	0	0
ASV_384	0	0	0	15	16	0
ASV_385	0	0	0	0	0	31
ASV_386	0	0	0	0	0	31
ASV_387	30	0	0	0	0	0
ASV_388	30	0	0	0	0	0
ASV_389	0	16	0	2	12	0
ASV_390	0	0	30	0	0	0
ASV_391	0	0	0	9	21	0
ASV_392	0	0	0	16	0	14
ASV_393	0	0	0	0	30	0
ASV_394	29	0	0	0	0	0
ASV_395	0	29	0	0	0	0
ASV_396	0	0	29	0	0	0
ASV_397	0	0	29	0	0	0
ASV_398	11	0	0	11	0	6
ASV_399	0	0	0	0	13	15
ASV_400	0	0	0	0	28	0
ASV_401	0	0	0	0	0	28
ASV_402	27	0	0	0	0	0
ASV_403	0	27	0	0	0	0
ASV_404	0	0	11	0	0	16
ASV_405	0	0	27	0	0	0
ASV_406	0	0	0	19	0	8
ASV_407	0	0	0	0	27	0
ASV_408	0	0	0	0	15	12
ASV_409	16	0	0	0	0	10
ASV_410	12	0	0	7	0	7
ASV_411	14	0	0	0	12	0
