OTU	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	Chloroplast	S01_RARE	S02_RARE	S03_RARE	S04_RARE	S05_RARE	S06_RARE	S07_RARE	S08_RARE	S09_RARE	S10_RARE	S01_ABUN	S02_ABUN	S03_ABUN	S04_ABUN	S05_ABUN	S06_ABUN	S07_ABUN	S08_ABUN	S09_ABUN	S10_ABUN	TOTAL_RARE	TOTAL_ABUN
b3cf4268054e3b4b5a7101ef8dba6c5f	7566	17431	25761	4350	27876	3388	11431	50981	1302	23287	0	0	0	0	0	0	0	0	0	0	0	7566	17431	25761	4350	27876	3388	11431	50981	1302	23287	0	173373
8f3b685f8bedc9a31ff59946d6067983	11063	27125	5890	10415	11603	6968	17240	47406	24243	9136	0	0	0	0	0	0	0	0	0	0	0	11063	27125	5890	10415	11603	6968	17240	47406	24243	9136	0	171089
bd3fa50d3e35061f63ffa4c6517a599e	33053	19194	9138	25274	9017	20115	21151	6313	14982	5371	0	0	0	0	0	0	0	0	0	0	0	33053	19194	9138	25274	9017	20115	21151	6313	14982	5371	0	163608
7f5bdb60008cf3ffc16a5ff80a5b3a79	22850	18004	16681	26444	6356	20275	18010	14445	8606	6534	0	0	0	0	0	0	0	0	0	0	0	22850	18004	16681	26444	6356	20275	18010	14445	8606	6534	0	158205
2d32762425151dce7431c8c47f9afd55	4013	11097	2242	3385	5530	1654	5477	45267	36963	37496	0	0	0	0	0	0	0	0	0	0	0	4013	11097	2242	3385	5530	1654	5477	45267	36963	37496	0	153124
4cb782779dee86c8d56c78a0112c176a	20137	23209	1853	22446	2364	11730	18283	10157	31585	3201	0	0	0	0	0	0	0	0	0	0	0	20137	23209	1853	22446	2364	11730	18283	10157	31585	3201	0	144965
48bad13b2e4223a7c616e170e400ca46	14170	35625	6452	20202	1423	6068	33253	6655	1277	840	0	0	0	0	0	0	0	0	0	0	0	14170	35625	6452	20202	1423	6068	33253	6655	1277	840	0	125965
62e006b48462513100ce1c0831a6ab5f	6892	7625	3766	3792	4641	2071	4619	75011	6889	7834	0	0	0	0	0	0	0	0	0	0	0	6892	7625	3766	3792	4641	2071	4619	75011	6889	7834	0	123140
d9eec2b3f1ea53f5fbbe42c118a8fedb	17779	10699	3097	14094	1499	10838	10949	8226	14533	7289	0	0	0	0	0	0	0	0	0	0	0	17779	10699	3097	14094	1499	10838	10949	8226	14533	7289	0	99003
dbcfdf68b7547fb5ac9f76b1dfc7c3ea	6238	12839	37769	11610	8910	7611	10183	342	0	146	0	0	0	0	0	0	0	0	0	0	0	6238	12839	37769	11610	8910	7611	10183	342	0	146	0	95648
b9ccd763e58305b44b05b2f7559f10e4	10239	17986	17237	8291	15221	4268	7810	6577	4265	733	0	0	0	0	0	0	0	0	0	0	0	10239	17986	17237	8291	15221	4268	7810	6577	4265	733	0	92627
fdf4f92d9252ca071ac7e8551ba1a2b1	3372	4400	9697	779	59862	4817	1321	112	0	11	0	0	0	0	0	0	0	0	0	0	0	3372	4400	9697	779	59862	4817	1321	112	0	11	0	84371
b4a63e3c69fe5163cf3c6913663f7576	3268	2345	3206	9445	1486	12724	11362	14354	4748	20874	0	0	0	0	0	0	0	0	0	0	0	3268	2345	3206	9445	1486	12724	11362	14354	4748	20874	0	83812
0fdc2d79fe172cfcd4d185497511e7b6	18640	12662	0	15732	0	18941	17317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18640	12662	0	15732	0	18941	17317	0	0	0	0	83292
3231a90131a635c68f013c98012a5902	3560	8021	11575	1966	12767	1736	3434	4506	2249	32342	0	0	0	0	0	0	0	0	0	0	0	3560	8021	11575	1966	12767	1736	3434	4506	2249	32342	0	82156
e6b6e8e4388abe586de080d53add36da	7733	11931	196	6135	2004	1292	15742	27185	2732	7125	0	0	0	0	0	0	0	0	0	0	0	7733	11931	196	6135	2004	1292	15742	27185	2732	7125	0	82075
fbf379d9608994b1a8bc493fe4204966	9616	7189	4120	10307	3871	12251	13078	7611	4759	5558	0	0	0	0	0	0	0	0	0	0	0	9616	7189	4120	10307	3871	12251	13078	7611	4759	5558	0	78360
