Feature ID	Taxon	Confidence
3fa4a8fd831f836d5eb9205b5eaf6254	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Spirochaeta 2	0.7158529695282689
4d5edbf41fb55f9d7d99e97db64eaf97	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Sediminispirochaeta	0.863697148231606
d91be4d8621c2dba862a2f7e5b0df9f5	D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Longimicrobia;D_3__Longimicrobiales;D_4__Longimicrobiaceae	0.9345159269080232
315b1d802c71b32ac9dbba095f7ac2fc	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	0.999047768915441
1a945b3ff19aa80512bdafa0bdd5f516	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__E6aC02;D_5__uncultured organism;D_6__uncultured organism	0.943700985702767
9ec63a907b11ce16c0408596be1f315e	D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria;D_3__Fibrobacterales	0.9574609929429266
765098a178d16c0a226ae9b9bb7b159a	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__M55-D21;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9769959556174261
582c132a4192b7131b6b21be4c67ca62	D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11 terrestrial group	0.9995641963367915
38c73c3f3d63ef616d7e90a391826263	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Spirochaeta 2	0.9900300518839975
b956137d4ab47d6f07e2220c159df388	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales	0.9503776172301722
bd3d171bcecb4bda1a0a754c1568ba2c	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Spirochaeta 2	0.9914062602477418
cf39702449f12adc2d7542da89d00e5a	D_0__Bacteria	0.9999906742064241
c6e876c282bd545885195c932340cd32	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	0.9984493043366176
b38c492004f6a4ff8d01fc3b0214d95b	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Spirochaeta 2	0.8664720479614962
673d3b34b21444af225d590ae1221065	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__ML635J-40 aquatic group;D_5__uncultured bacterium;D_6__uncultured bacterium	0.7628263712746497
aad323dca54687db0cd58cacec78c3e7	D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales;D_4__Phycisphaeraceae;D_5__Phycisphaera	0.9858894095120535
